activity,activityID,userID,"rating (hi = 50, low = 10)",,,unique users,# of ratings per user,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,jess290718,30,,,aattura,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,jeffl499,40,,,339josephm,12,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,JamieJustine,20,,,toscwolfstar,10,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,james628,40,,,TooOldtoRun,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,HelenaGuerra,30,,,susan2909,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,foxsmjr,50,,,PaleoGypsy,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Fireman_Dan_9,50,,,nycmom22,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,edsbs,50,,,missyh606,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,EdnaK_13,40,,,lorranec630,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,Cristiano_9,50,,,llittle,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,CaseyJones6325,40,,,Kurt_Mich75,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,brianb566,50,,,Jydeoo,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,BradJill,30,,,JohnBCowgill,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,88ShannonK,40,,,JaroslavNecas,11,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,78eugener,40,,,H5152PVrobertd,9,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,546bruceh,50,,,DennyB510,7,,
56 Signers of the Declaration of Independence Memorial,g28970-d6863124,362meaghanl,40,,,cfuller603,11,,
Adams Morgan,g28970-d143711,yveslouisp,50,,,CaptTrouble,10,,
Adams Morgan,g28970-d143711,worldvisitor85,50,,,656turners,11,,
Adams Morgan,g28970-d143711,WiffenPaul,40,,,Vonschmidt,10,,
Adams Morgan,g28970-d143711,Wano16,50,,,Superlegalbabe,10,,
Adams Morgan,g28970-d143711,vivkiik,50,,,StephenCr0ss,10,,
Adams Morgan,g28970-d143711,ValerieMusicTeacher,40,,,SherylB404,10,,
Adams Morgan,g28970-d143711,TV2451,50,,,samuel8248,10,,
Adams Morgan,g28970-d143711,TravelQ6492QE,50,,,RussellJW,10,,
Adams Morgan,g28970-d143711,Travelergirl998,40,,,Roadtripsters2015,10,,
Adams Morgan,g28970-d143711,Traveler30316,50,,,Peterharris32,10,,
Adams Morgan,g28970-d143711,Toritwo,40,,,O6378WFannag,10,,
Adams Morgan,g28970-d143711,TolerantTraveler,30,,,Noraatc,10,,
Adams Morgan,g28970-d143711,TiggerFaith,50,,,namaskar,10,,
Adams Morgan,g28970-d143711,The_Original_NJM,40,,,NAFTAflyer,10,,
Adams Morgan,g28970-d143711,tdftdf19,40,,,musicgirl911,10,,
Adams Morgan,g28970-d143711,SwissyFaye,40,,,METRUN360,10,,
Adams Morgan,g28970-d143711,swisstraveller159,50,,,Matvl,10,,
Adams Morgan,g28970-d143711,Surfbox,40,,,marcain,10,,
Adams Morgan,g28970-d143711,SunnyW358,50,,,Littlemisschef88,10,,
Adams Morgan,g28970-d143711,sunflower35,50,,,Levannah,8,,
Adams Morgan,g28970-d143711,stepheng878,40,,,leuveen,10,,
Adams Morgan,g28970-d143711,Stargatebabe,30,,,KLE2013,10,,
Adams Morgan,g28970-d143711,soph_ontheroad,50,,,kihyland,10,,
Adams Morgan,g28970-d143711,SonicSpringBok,30,,,jenabaintheworld,6,,
Adams Morgan,g28970-d143711,Sndvl,50,,,james628,10,,
Adams Morgan,g28970-d143711,SebBud,50,,,food_chick1,10,,
Adams Morgan,g28970-d143711,SamS401,50,,,Elchieef,10,,
Adams Morgan,g28970-d143711,Sacred-Valley-Girl,50,,,ElaineAndGreg,10,,
Adams Morgan,g28970-d143711,saada111,40,,,durham05,10,,
Adams Morgan,g28970-d143711,ramind_12,30,,,Dbourg1975,10,,
Adams Morgan,g28970-d143711,QuickWhitTravel,40,,,cordyroy,10,,
Adams Morgan,g28970-d143711,Quest1339,50,,,CaseyJones6325,10,,
Adams Morgan,g28970-d143711,pusstahw,50,,,Bornabrit,6,,
Adams Morgan,g28970-d143711,PrawetJ,40,,,asnow815,10,,
Adams Morgan,g28970-d143711,PeteM63,50,,,61JamesW,10,,
Adams Morgan,g28970-d143711,omostico,50,,,18rusty,10,,
Adams Morgan,g28970-d143711,nursely,20,,,WDC2012,9,,
Adams Morgan,g28970-d143711,MSPXelaforNow,30,,,waunderlust_forever,9,,
Adams Morgan,g28970-d143711,ms_scotsgirl,50,,,Travelergirl998,9,,
Adams Morgan,g28970-d143711,mother15,40,,,tominfairfield,9,,
Adams Morgan,g28970-d143711,ML0101,40,,,TheRealGelatoGirl,8,,
Adams Morgan,g28970-d143711,mcubbage,40,,,SusannaRunner,9,,
Adams Morgan,g28970-d143711,mcsc-squared,40,,,solomonknibb,9,,
Adams Morgan,g28970-d143711,MatthewASharp,30,,,Scott8446,9,,
Adams Morgan,g28970-d143711,lunarluau,30,,,RYC88,9,,
Adams Morgan,g28970-d143711,Lucky_Eddie,30,,,RoverP,9,,
Adams Morgan,g28970-d143711,LFROMTX,40,,,rogersober,9,,
Adams Morgan,g28970-d143711,Leland524,50,,,RobertL873,6,,
Adams Morgan,g28970-d143711,legreg79,40,,,ProfAragon,9,,
Adams Morgan,g28970-d143711,kans1,30,,,oneaquagal,9,,
Adams Morgan,g28970-d143711,julieEllen,40,,,O5633KXsharonm,9,,
Adams Morgan,g28970-d143711,jtmurrayrealtor,50,,,nutrinut,9,,
Adams Morgan,g28970-d143711,joanaaslamas,40,,,lanceh583,9,,
Adams Morgan,g28970-d143711,jamison881,40,,,karenpammy2016,9,,
Adams Morgan,g28970-d143711,jabberwockies,30,,,jefferyp2017,9,,
